Sex,Race,Age,Grade,SexOrientation,SeatBealtUse,DrinkingDriver,DrivingDrinking,TextingDriving,WeaponCarrying,WeaponCarryingSchool,GunCarrying,UnsafeAtSchool,InjuredInSchool,PhysicalFight,SchoolPhysicalFight,SexualAbuse,TimesSexualAbuse,SexualAbuseByPartner,Bullying,CyberBullying,SmokingCigarette,AgeFirstCig,DaysSmokingCigarette,CigPerDay,Vaping,DaysVaping,SourceVaping,DaysSmokelessTobacco,DaysSmokingCigar,AgeFirstAlcohol,DaysAlcohol,BingeDrinking,LargestNumberOfDrinks,SourceAlcohol,TimesMarihuanaUseLife,AgeFirstMarihuana,TimesMarihuanaUse30Days,TimesSyntheticMarihuanaUseLife,PainMedicine,TimesCocaine,TimesInhalant,TimesHeroin,TimesMetha,TimesEcstasy,TimesSteroids,TimesNeedle,OfferedDrugsSchool,HallucinogenicDrugs,MarihuanaUse
Male,Multiple-Hispanic,16,10,Heterosexual,Most of the Times,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Male,Multiple-Non-Hispanic,15,10,Heterosexual,Always,2,2,2,1,1,1,1,1,1,1,0,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1
Female,Multiple-Non-Hispanic,15,10,Heterosexual,Most of the Times,1,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,10,Heterosexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,4,3,2,1,7,4,1,1,5,3,NA,NA,7,7,4,6,1,3,3,1,1,1,1,1,1,1,3,1
Male,Hispanic/Latino,16,10,Heterosexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,15,10,Bisexual,Most of the Times,1,1,1,1,1,1,3,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,6,2,1,2,6,1,1,1,1,3,1,3,1,1,1,1,1,1,1,0
Female,White,16,10,Heterosexual,Most of the Times,1,2,6,1,1,1,1,1,2,1,0,1,2,1,0,0,1,1,1,1,3,4,1,1,6,2,1,2,6,2,6,1,4,2,1,1,1,1,1,1,1,1,1,1
Male,White,15,10,Heterosexual,Always,1,1,1,1,1,1,1,3,1,1,0,1,2,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,4,0
Female,White,15,10,Heterosexual,Always,5,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,1,3,1,1,1,1,1,1,1,1,1,1
Male,Multiple-Hispanic,16,10,Heterosexual,Rarely,1,2,8,1,1,1,1,1,3,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,5,2,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
